geneID,Control-1,Control-2,Control-3,PNA-10b-1,PNA-10b-2,PNA-10b-3,PNA-21-1,PNA-21-2,PNA-21-3,PNA-10b+21-1,PNA-10b+21-2,PNA-10b+21-3,gene_name
ENSG00000000003,602,644,525,461,559,511,491,431,636,533,437,500,TSPAN6
ENSG00000000419,1410,1649,1122,1358,1679,1434,1638,1332,1829,1544,1438,1458,DPM1
ENSG00000000457,143,192,155,146,180,192,165,160,171,173,126,156,SCYL3
ENSG00000000460,189,252,138,239,285,245,285,236,318,312,229,259,C1orf112
ENSG00000000938,1,4,0,0,0,1,0,1,2,2,2,0,FGR
ENSG00000000971,608,643,564,449,444,465,425,371,518,424,406,455,CFH
ENSG00000001036,1729,1943,1480,1500,1857,1663,2054,1573,2114,2007,1665,1754,FUCA2
ENSG00000001084,619,764,483,570,704,704,722,671,783,716,585,629,GCLC
ENSG00000001167,395,466,332,356,487,416,474,386,548,521,404,426,NFYA
ENSG00000001460,152,193,143,185,200,176,187,159,206,202,171,185,STPG1
ENSG00000001461,1216,1302,1044,1097,1270,1218,1276,1065,1273,1229,1066,1180,NIPAL3
ENSG00000001497,1015,1161,833,1000,1167,1044,1331,1119,1277,1362,1016,1143,LAS1L
ENSG00000001561,209,273,181,179,251,264,222,187,239,207,156,202,ENPP4
ENSG00000001617,1,4,4,1,5,5,9,4,6,4,5,7,SEMA3F
ENSG00000001626,19,20,18,16,20,23,21,22,24,21,15,27,CFTR
ENSG00000001629,2438,2921,2222,2360,2871,2844,2940,2769,3441,3055,2487,2792,ANKIB1
ENSG00000001630,41,60,43,54,89,61,73,68,89,79,52,87,CYP51A1
ENSG00000001631,172,254,144,177,213,250,244,223,280,211,149,212,KRIT1
ENSG00000002016,449,482,381,372,442,469,464,377,608,510,436,467,RAD52
ENSG00000002079,1,5,4,8,5,6,5,4,6,3,4,5,MYH16
ENSG00000002330,266,301,221,212,258,294,324,258,303,326,274,261,BAD
ENSG00000002549,1531,1756,1332,1377,1629,1540,1879,1523,1967,1823,1537,1671,LAP3
ENSG00000002586,0,0,0,0,0,0,0,0,1,0,0,1,CD99
